"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"JUM-LPIT01","JUM-LPIT01.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)",,"28/07/2022 12:26:10 PM"
"JUM-WSACCAR03","JUM-WSACCAR03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"23/11/2019 9:52:49 AM"
"JUM-WSACCCA01","JUM-WSACCCA01.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"19/03/2022 9:05:25 PM"
"JUM-WSACCAP05","JUM-WSACCAP05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/11/2019 2:41:00 PM"
"DIC-WSREMOTE01","DIC-WSREMOTE01.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"11/05/2021 3:58:41 PM"
"JUM-WSENGSPR02","JUM-WSENGSPR02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/11/2019 4:24:34 PM"
"JUM-WSFOCID07",,,,,,
"JUM-WSFOMGR04","JUM-WSFOMGR04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/12/2019 4:38:29 PM"
"JUM-WSFONA06","JUM-WSFONA06.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/12/2019 6:14:14 AM"
"JUM-WSFOOPR08","JUM-WSFOOPR08.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/12/2022 3:14:08 PM"
"JUM-WSFORCP01","JUM-WSFORCP01.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.20.170","29/12/2022 12:55:01 AM"
"JUM-WSFORCP02","JUM-WSFORCP02.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.20.105","22/12/2022 5:19:57 PM"
"JUM-WSFORCP03","JUM-WSFORCP03.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"12/01/2022 8:59:04 AM"
"JUM-WSFORES05","JUM-WSFORES05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/12/2019 8:50:35 AM"
"JUM-WSHKCDR02","JUM-WSHKCDR02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/11/2019 12:32:21 AM"
"JUM-WSHKMGR01","JUM-WSHKMGR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.20.114","22/12/2022 9:34:32 AM"
"JUM-WSHRCDR01","JUM-WSHRCDR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"12/03/2022 3:43:26 AM"
"JUM-WSREMOTE01","JUM-WSREMOTE01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.20.179","19/12/2022 1:05:51 PM"
"JUM-WSKTCHEF01","JUM-WSKTCHEF01.hiexsp.ae","Windows 10 Pro",,"10.0 (19041)","10.10.20.103","28/12/2022 5:14:52 AM"
"FOM","fom.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"15/06/2014 4:09:48 AM"
"SA-LPHTLMGR01","SA-LPHTLMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"02/05/2019 7:16:42 AM"
"SA-LPCHFENG01","SA-LPCHFENG01.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"10/09/2014 10:54:28 AM"
"SA-WSENGSUP02","SA-WSENGSUP02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"24/01/2020 6:50:27 AM"
"SA-WSFORECP02","SA-WSFORECP02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/12/2021 12:37:50 PM"
